unique_cell_id,nuc_area,nucGRint,cytoGRint,time,dex_conc,replica,fov,nas_location,h5_idx,background_p1,background_p3,background_p5,background_p10,background_otsu_thresh,background_mean_otsu,background_median_otsu,background_std_otsu,imageDates,NucGRCorrected,CytGRCorrected,CalcCytoArea,normGRcyt,normGRnuc
15000110,9291,4123.258988,2468.898712,120,1,A,6,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,617.400754,637.9500548,651.6628912,678.7986376,2130.554785,1050.417303,817.5908969,442.9558246,20230516,3333.70588723273,1996.13514337308,17016.957837568913,12,10
15000113,9421,3838.234257,2804.836887,120,1,A,6,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,617.400754,637.9500548,651.6628912,678.7986376,2130.554785,1050.417303,817.5908969,442.9558246,20230516,3103.25986710472,2267.74531265981,17326.517717545026,15,8
15000116,9094,4564.592936,3248.39583,120,1,A,6,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,617.400754,637.9500548,651.6628912,678.7986376,2130.554785,1050.417303,817.5908969,442.9558246,20230516,3690.52984249849,2626.36820390125,16564.377821339076,20,12
15000117,8456,4125.617678,2793.960583,120,1,A,6,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,617.400754,637.9500548,651.6628912,678.7986376,2130.554785,1050.417303,817.5908969,442.9558246,20230516,3335.61291726942,2258.9516863604,15235.29706766571,15,10
15000119,8722,3554.928892,2508.146144,120,1,A,6,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,617.400754,637.9500548,651.6628912,678.7986376,2130.554785,1050.417303,817.5908969,442.9558246,20230516,2874.20397565241,2027.86717754749,15764.048585564713,12,7
15000121,9454,4598.574279,2810.167754,120,1,A,6,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,617.400754,637.9500548,651.6628912,678.7986376,2130.554785,1050.417303,817.5908969,442.9558246,20230516,3718.00417858673,2272.05538456014,17406.477914920626,15,12
15000123,8495,3240.639332,2360.915942,120,1,A,7,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,615.3906636,635.416144,648.6799152,674.9464938,2041.350485,1000.273617,807.1392575,388.6963919,20230516,2620.09697933783,1908.82973832421,15310.55015825391,11,5
15000125,8356,3533.991824,2182.600079,120,1,A,7,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,615.3906636,635.416144,648.6799152,674.9464938,2041.350485,1000.273617,807.1392575,388.6963919,20230516,2857.27609722999,1764.65915772277,15045.905514028398,9,7
15000140,7990,4020.196048,2593.119877,120,1,A,8,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.354094,630.869446,643.1954391,667.5412435,2046.538689,980.0328357,778.3386997,396.2178432,20230516,3250.37822558609,2096.56949161184,14396.476837919841,13,9
15000141,9424,4094.220591,2668.473151,120,1,A,8,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.354094,630.869446,643.1954391,667.5412435,2046.538689,980.0328357,778.3386997,396.2178432,20230516,3310.22798411861,2157.49354559127,17333.76374308795,14,10
15000144,9244,4748.222186,2813.575375,120,1,A,8,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.354094,630.869446,643.1954391,667.5412435,2046.538689,980.0328357,778.3386997,396.2178432,20230516,3838.99636220408,2274.81048828324,16907.1737020407,15,13
15000145,7736,4806.604079,2983.554883,120,1,A,8,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.354094,630.869446,643.1954391,667.5412435,2046.538689,980.0328357,778.3386997,396.2178432,20230516,3886.19884474721,2412.24102276523,13986.171096110784,17,14
15000146,8793,4973.619617,3070.697134,120,1,A,8,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.354094,630.869446,643.1954391,667.5412435,2046.538689,980.0328357,778.3386997,396.2178432,20230516,4021.23297282657,2482.69661045227,15911.31833556032,18,14
15000147,8380,3728.887899,2432.80186,120,1,A,8,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.354094,630.869446,643.1954391,667.5412435,2046.538689,980.0328357,778.3386997,396.2178432,20230516,3014.85198429335,1966.95039209425,15090.89166516414,11,8
15000151,7941,4074.897755,2668.48676,120,1,A,8,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,612.354094,630.869446,643.1954391,667.5412435,2046.538689,980.0328357,778.3386997,396.2178432,20230516,3294.60523223261,2157.50454863608,14314.747014232817,14,10
15000156,9040,3433.611709,2329.441858,120,1,A,9,smFISH_images/Eric_smFISH_images/20230516/GR_ICC_3hr_R1_1nM_120min_050823/GR_ICC_3hr_R1_1nM_120min_050823.h5,0,618.7517462,639.5975794,653.6025786,681.1326031,2196.60507,1041.696643,794.6135112,465.3522041,20230516,2776.11753277637,1883.38255214662,16443.796701357292,10,6
